Atividade,CBO,DIT,LOC,Maturidade,Nome,Popularidade,Url,WMC
0,2.5,1.0,34.0,5.0,shopping-management-system,3788,https://github.com/zhanglei-workspace/shopping-management-system,6.5
93,3.0,1.0,19.0,7.0,Conversations,3784,https://github.com/iNPUTmice/Conversations,5.0
24,3.5,1.0,21.0,4.0,objectbox-java,3776,https://github.com/objectbox/objectbox-java,4.0
19,4.0,1.0,22.0,5.0,Conductor,3760,https://github.com/bluelinelabs/Conductor,5.0
22,2.0,1.0,16.5,6.0,hawk,3760,https://github.com/orhanobut/hawk,5.5
6,2.0,1.0,10.0,5.0,MaterialSearchView,3758,https://github.com/MiguelCatalan/MaterialSearchView,3.0
0,4.0,1.0,14.0,6.0,ignite,3758,https://github.com/apache/ignite,3.0
9,2.0,1.0,13.0,3.0,FloatWindow,3754,https://github.com/yhaolpz/FloatWindow,3.5
19,2.0,1.0,9.0,8.0,mapstruct,3733,https://github.com/mapstruct/mapstruct,2.0
0,3.0,1.0,31.0,7.0,java-algorithms-implementation,3727,https://github.com/phishman3579/java-algorithms-implementation,8.0
43,4.0,1.0,30.0,7.0,transmittable-thread-local,3719,https://github.com/alibaba/transmittable-thread-local,8.0
40,3.0,1.0,11.0,3.0,CameraView,3718,https://github.com/natario1/CameraView,2.0
0,3.0,1.0,14.0,5.0,NoHttp,3710,https://github.com/yanzhenjie/NoHttp,4.0
0,3.0,1.0,10.0,4.0,BigImageViewer,3697,https://github.com/Piasy/BigImageViewer,2.0
0,4.0,1.0,15.0,3.0,CC,3689,https://github.com/luckybilly/CC,3.0
0,2.0,1.0,8.0,6.0,sticky-headers-recyclerview,3688,https://github.com/timehop/sticky-headers-recyclerview,2.0
0,4.0,1.0,20.0,6.0,Gadgetbridge,3678,https://github.com/Freeyourgadget/Gadgetbridge,4.0
0,5.0,1.0,17.0,11.0,camel,3671,https://github.com/apache/camel,2.0
0,3.0,1.0,19.5,8.0,greys-anatomy,3664,https://github.com/oldmanpushcart/greys-anatomy,3.0
21,5.0,2.0,32.5,4.0,malmo,3653,https://github.com/microsoft/malmo,8.0
9,7.0,1.0,36.0,7.0,simplify,3649,https://github.com/CalebFenton/simplify,5.0
0,4.0,1.0,30.0,11.0,hive,3648,https://github.com/apache/hive,6.0
0,1.0,1.0,12.0,5.0,java-learning,3638,https://github.com/brianway/java-learning,2.0
0,3.0,1.0,10.0,3.0,spring-boot-projects,3636,https://github.com/ZHENFENG13/spring-boot-projects,4.0
0,2.0,1.0,11.5,5.0,RichText,3629,https://github.com/zzhoujay/RichText,2.0
1,4.0,1.0,13.0,2.0,soul,3628,https://github.com/dromara/soul,2.0
0,6.0,2.0,24.0,6.0,CircleProgress,3622,https://github.com/lzyzsd/CircleProgress,4.0
26,6.0,1.0,24.0,9.0,javaparser,3618,https://github.com/javaparser/javaparser,5.0
2,4.0,1.0,13.0,7.0,emojicon,3615,https://github.com/rockerhieu/emojicon,3.0
22,3.0,1.0,15.0,3.0,Launcher3,3612,https://github.com/amirzaidi/Launcher3,3.0
0,5.0,1.0,15.0,8.0,moco,3611,https://github.com/dreamhead/moco,3.0
0,2.0,1.0,7.0,6.0,learning-spark,3610,https://github.com/databricks/learning-spark,1.0
5,4.0,1.0,36.0,9.0,GCViewer,3605,https://github.com/chewiebug/GCViewer,6.0
0,1.0,1.0,6.0,7.0,reflections,3604,https://github.com/ronmamo/reflections,0.0
48,4.0,1.0,35.0,8.0,azkaban,3602,https://github.com/azkaban/azkaban,6.0
0,2.0,1.0,30.0,7.0,ASimpleCache,3599,https://github.com/yangfuhai/ASimpleCache,5.0
0,5.0,1.0,14.0,4.0,Store,3598,https://github.com/nytimes/Store,3.0
0,3.0,1.0,9.0,10.0,rstudio,3593,https://github.com/rstudio/rstudio,2.0
0,2.0,1.0,35.0,6.0,android-common,3590,https://github.com/litesuits/android-common,8.0
0,3.0,1.0,9.0,7.0,parceler,3589,https://github.com/johncarl81/parceler,2.0
0,3.0,1.0,12.5,4.0,StylishMusicPlayer,3583,https://github.com/ryanhoo/StylishMusicPlayer,3.0
0,8.0,1.0,10.0,3.0,lamp-cloud,3571,https://github.com/zuihou/lamp-cloud,1.0
0,3.0,1.0,16.0,1.0,InternetArchitect,3569,https://github.com/bjmashibing/InternetArchitect,3.0
55,3.0,1.0,47.0,10.0,YCSB,3565,https://github.com/brianfrankcooper/YCSB,10.0
0,4.0,1.0,23.0,10.0,drools,3550,https://github.com/kiegroup/drools,5.0
2,3.0,1.0,6.0,5.0,DropDownMenu,3546,https://github.com/dongjunkun/DropDownMenu,2.0
0,1.0,1.0,5.5,7.0,retrolambda,3545,https://github.com/luontola/retrolambda,1.0
0,2.0,1.5,20.5,5.0,ExplosionField,3543,https://github.com/tyrantgit/ExplosionField,2.5
0,5.0,1.0,28.0,4.0,aws-doc-sdk-examples,3539,https://github.com/awsdocs/aws-doc-sdk-examples,4.0
1,2.5,1.0,18.5,4.0,AndroidHttpCapture,3538,https://github.com/JZ-Darkal/AndroidHttpCapture,4.0
906,5.0,1.0,23.0,8.0,Anki-Android,3534,https://github.com/ankidroid/Anki-Android,5.0
14,4.0,1.0,20.0,2.0,AndroidProject,3533,https://github.com/getActivity/AndroidProject,3.0
2,2.0,1.0,12.0,6.0,SwipeMenuListView,3532,https://github.com/baoyongzhang/SwipeMenuListView,2.0
13,3.0,1.0,13.0,3.0,SmartCropper,3530,https://github.com/pqpo/SmartCropper,4.0
37,3.0,1.0,19.5,8.0,jodd,3529,https://github.com/oblac/jodd,4.0
0,4.0,1.0,11.0,3.0,hmily,3518,https://github.com/dromara/hmily,2.0
3,3.0,1.0,15.0,4.0,spruce-android,3515,https://github.com/willowtreeapps/spruce-android,3.0
10,2.0,1.0,20.0,6.0,RecyclerViewPager,3513,https://github.com/lsjwzh/RecyclerViewPager,2.0
0,6.0,1.0,28.0,11.0,aws-sdk-java,3510,https://github.com/aws/aws-sdk-java,8.0
0,4.0,1.0,23.0,4.0,vespa,3507,https://github.com/vespa-engine/vespa,5.0
0,0.0,1.0,5.0,7.0,android-stackblur,3507,https://github.com/kikoso/android-stackblur,0.0
0,4.0,1.0,17.0,4.0,MarqueeView,3506,https://github.com/sunfusheng/MarqueeView,2.0
54,4.0,1.0,19.0,5.0,incubator-heron,3506,https://github.com/apache/incubator-heron,4.0
0,2.0,1.0,7.0,5.0,floatingsearchview,3505,https://github.com/arimorty/floatingsearchview,2.0
41,4.0,1.0,13.0,2.0,onedev,3505,https://github.com/theonedev/onedev,2.0
0,4.0,1.0,14.0,10.0,atmosphere,3502,https://github.com/Atmosphere/atmosphere,4.0
0,3.0,1.0,23.0,7.0,frontend-maven-plugin,3500,https://github.com/eirslett/frontend-maven-plugin,5.0
0,2.0,1.0,11.0,4.0,GeekNews,3499,https://github.com/codeestX/GeekNews,2.0
0,3.0,1.0,20.0,4.0,rocketmq-externals,3497,https://github.com/apache/rocketmq-externals,4.0
0,4.0,1.0,15.0,4.0,AndroidTutorialForBeginners,3492,https://github.com/hussien89aa/AndroidTutorialForBeginners,3.0
0,2.0,1.0,21.0,5.0,thumbnailator,3490,https://github.com/coobird/thumbnailator,4.0
2,3.0,1.0,17.0,5.0,SeeWeather,3488,https://github.com/xcc3641/SeeWeather,3.0
92,5.0,1.0,23.5,5.0,reactor-core,3487,https://github.com/reactor/reactor-core,5.0
0,1.5,1.0,9.0,2.0,tech-weekly,3483,https://github.com/mercyblitz/tech-weekly,1.0
14,3.0,1.0,17.0,7.0,openhab1-addons,3482,https://github.com/openhab/openhab1-addons,4.0
20,4.0,2.0,11.0,6.0,GmsCore,3476,https://github.com/microg/GmsCore,2.0
0,2.0,1.0,13.0,4.0,GuideView,3472,https://github.com/binIoter/GuideView,2.0
104,4.0,1.0,17.0,7.0,bisq,3471,https://github.com/bisq-network/bisq,3.0
16,2.0,1.0,11.0,6.0,powermock,3459,https://github.com/powermock/powermock,2.0
34,5.0,1.0,27.0,8.0,AntennaPod,3446,https://github.com/AntennaPod/AntennaPod,6.0
8,3.0,1.0,17.0,7.0,android-butterknife-zelezny,3433,https://github.com/avast/android-butterknife-zelezny,3.0
0,4.0,1.0,17.0,5.0,ThreeTenABP,3431,https://github.com/JakeWharton/ThreeTenABP,3.0
6,4.0,2.0,74.0,6.0,javacpp,3429,https://github.com/bytedeco/javacpp,22.0
0,1.5,1.0,41.5,1.0,tech-interview-for-developer,3429,https://github.com/gyoogle/tech-interview-for-developer,7.5
3,7.5,2.0,33.5,4.0,MagicaSakura,3426,https://github.com/bilibili/MagicaSakura,8.5
0,4.0,1.0,7.0,1.0,springcloud-learning,3417,https://github.com/macrozheng/springcloud-learning,1.0
